date,temperature_C,turbidity_NTU,pH,DO_mg_L,BOD_mg_L,COD_mg_L,nitrate_mg_L,phosphate_mg_L,TDS_mg_L,conductivity_uS_cm,fecal_coliform_CFU_100mL,WQI
2010-01-01,22.993184676634495,5.516142632422062,7.52038945182182,7.906427239117058,2.7353973712724824,13.885689244038588,1.9680901716334531,0.5516848552398971,261.1905767137598,619.9033964207272,49.77230181790418,8.4582796591754
2010-02-01,24.104012721591896,7.048401874095012,7.394924415359874,7.910388989676413,2.6430248833788714,12.059508021414533,2.62192386153104,0.5438752299575145,261.148853659457,671.3538700952915,50.97418452962656,7.266859040995878
2010-03-01,25.775834054807802,7.64031896346206,7.321057661648976,7.860949664578356,3.5198587082128543,11.877982406258116,3.1479968138612766,0.6686505681677245,269.1899394278952,689.3676767457684,44.40777897192111,2.568955908943632
2010-04-01,26.21554863714149,6.792832607650218,7.186963309764602,7.35559665915742,2.4280563614624264,12.540366847410862,3.015166322379274,0.6288186472043986,218.5682540789361,571.6056191969781,24.495493928905848,8.083390620840007
2010-05-01,22.32049606639795,2.67346248387455,7.065184831939758,8.019599421657205,2.4588000275064763,11.160988775465396,2.424284191312892,0.3660706507064966,168.26687609390467,517.677840434394,26.127145251369033,15.988587144725784
2010-06-01,19.837018578115533,2.471934956065293,6.981552305268145,8.958780745105019,1.735304901704068,11.188505435069642,2.330424476736679,0.43270795330324496,181.9098789014144,513.4397242244426,18.773782643776215,14.087430674089699
2010-07-01,19.497927685587857,3.102201402628112,7.05307593511934,8.683473211841793,1.7954541361510659,12.481298784992315,1.4746699828697014,0.2828921689002714,174.70040370159728,560.9008904814748,26.531992533242736,17.984367217181205
2010-08-01,16.650991791986176,8.649831203791425,7.040920721393352,9.346813269317439,2.8160899212991604,14.390137471573414,2.074906373809633,0.3839067959442433,192.2086406940058,612.8759401664732,44.893666718469134,15.574668433260769
2010-09-01,14.438022927791089,8.509754064950823,6.895774540835617,9.749928573766734,2.083237106049161,15.045340973315374,1.4352296407331493,0.3373686528064672,142.30999871469157,546.6682336307672,44.640375058761315,15.439885167893912
2010-10-01,16.263159242851295,8.037556612627645,7.163542603952461,10.05957553282002,2.7027390433640153,15.705372861261644,1.7926384193824338,0.3773083379282515,215.08466734687866,635.0705348826951,52.98364895412492,13.841167218381791
2010-11-01,16.84241865255909,1.9810342597124828,7.151919109825091,8.962023870483428,2.9607528724067405,14.72664283675066,1.301929210932111,0.37385231055127216,261.6967032955781,663.64316470741,41.9725887931262,13.552867974258332
2010-12-01,19.323141369261144,2.719734247376197,7.30346026025026,9.28216174755596,3.0967177704337616,18.359079898618553,1.6701347496999155,0.5287380892261716,231.15176351222993,588.7656905127461,34.28952007387112,12.70974625574246
2011-01-01,22.687482418900252,5.3611371571950555,7.497271847222013,8.028075044771086,2.9902341425502796,14.85941051840432,2.090513543360547,0.4992353845806276,231.66159206637468,594.786327117517,29.82229862954717,6.299237583915126
2011-02-01,21.973993589407957,9.819510803022178,7.471524425734286,7.446779132727235,3.144418754975458,13.47865865389469,3.087106284672186,0.6740274179097825,245.31881631166218,629.9087471498582,49.583224278632194,4.277803628103203
2011-03-01,22.92870641007133,7.478662466011581,7.356247751169347,7.9148831146787355,2.9738430422765987,13.308031729726823,2.7700083021483044,0.6741596961143135,244.66304771982152,640.3287806386621,39.88959595482513,7.094494875405293
2011-04-01,23.7131677743627,5.405630136078476,7.236765083140406,6.7316974533486755,2.6938942026317303,10.81782787886992,3.139600796079901,0.59437931178988,239.21394653923602,654.0284648691064,28.208001931027567,8.06830992452402
2011-05-01,21.38608277166465,3.2689789022498417,7.03729077393389,8.403682513816253,1.763536831794268,9.792713687078571,2.5828759584971603,0.5856278843134611,188.50919366087456,552.3388639475028,17.749190976190263,17.319942695057712
2011-06-01,20.495079725568875,2.6801765610655868,7.050750915169191,8.73032266180338,1.9421674472995762,11.442236891796275,1.742000788063877,0.35942014093368535,211.85157270475736,627.9466358671838,21.61193121994189,15.174068827833862
2011-07-01,16.513243416353536,4.392992939629258,7.014815383932206,9.134746763650796,2.611116290130519,13.157382500960876,1.8017601032168897,0.3841917568910407,137.831094749361,499.7784370400573,28.516865567064237,14.355300769488968
2011-08-01,14.035305675400336,7.888802201410943,6.921248357362862,10.040592659532148,2.7259342925811225,12.393388733139293,1.3532628206598765,0.3281431973042282,119.78549111183929,479.9946080199897,41.86736474033337,14.381911628992004
2011-09-01,16.760170713618894,9.121160661156996,7.0117692396308025,10.091620295095392,2.086151942001472,13.216963548685253,1.5253278615729111,0.40857534721948335,196.81789148442311,629.4343538067708,44.85836642722862,11.394405817326788
2011-10-01,15.341155629964291,3.5838785808245186,7.098087689463074,9.462412410804152,2.920342950030942,17.861963186882058,0.9663407744493948,0.3309483296201019,143.73236054975925,480.1915887986277,49.062990191072004,14.165965150369614
2011-11-01,17.47955372955955,2.6100813324523138,7.17257551541512,8.70654853278747,2.16843274968272,16.231592262328125,1.7565526594575025,0.37000387465660783,212.17722586858278,630.8269761516452,34.652011541682334,10.018685818003146
2011-12-01,18.172319250089302,1.4447546477318423,7.239716612825539,9.549585548462714,3.045443098529001,19.909769264405803,1.7616354001266519,0.5206854432116355,297.60821748932494,745.9931293797052,45.453359664762594,12.906629696274873
2012-01-01,21.743868423590794,6.697065280494777,7.381786570718917,8.849067770314619,3.8476968257211275,18.976389033596842,2.3065686246232695,0.5499959694889297,254.40872341111213,671.6084966875774,47.23506531270553,5.473038721772746
2012-02-01,24.403036990649156,5.490614544656033,7.435132532430596,7.40071902107685,2.520355830462171,15.87038725484054,2.891154858749554,0.5297101504443429,238.33008082892815,684.052810869371,46.36504206571692,4.892814939288715
